datetime,open,high,low,close,volume,ATR,EMA200,ADX,DI+,DI-,donchian_high,donchian_low,signals,decision_signal,decision_target,decision_reason,trade_type,forced_liquidation
2018-01-01 05:30:00,13715.6500000000,13818.5500000000,12750.0000000000,13380.0000000000,8609.9158440000,,13380.0000000000,,,,,,0,0,,HOLD,HOLD,False
2018-01-02 05:30:00,13382.1600000000,15473.4900000000,12890.0200000000,14675.1100000000,20078.0921110000,,13392.8866666667,,,,,,0,0,,HOLD,HOLD,False
2018-01-03 05:30:00,14690.0000000000,15307.5600000000,14150.0000000000,14919.5100000000,15905.6676390000,,13408.0769485904,,,,,,0,0,,HOLD,HOLD,False
2018-01-04 05:30:00,14919.5100000000,15280.0000000000,13918.0400000000,15059.5400000000,21329.6495740000,,13424.5094167636,,,,,,0,0,,HOLD,HOLD,False
2018-01-05 05:30:00,15059.5600000000,17176.2400000000,14600.0000000000,16960.3900000000,23251.4911250000,,13459.6923081391,,,,,,0,0,,HOLD,HOLD,False
2018-01-06 05:30:00,16960.3900000000,17143.1300000000,16011.2100000000,17069.7900000000,18571.4575080000,,13495.6136782074,,,,,,0,0,,HOLD,HOLD,False
2018-01-07 05:30:00,17069.7900000000,17099.9600000000,15610.0000000000,16150.0300000000,12493.1255580000,,13522.0257809118,,,,,,0,0,,HOLD,HOLD,False
2018-01-08 05:30:00,16218.8500000000,16322.3000000000,12812.0000000000,14902.5400000000,26600.6099120000,,13535.7622408032,,,,,,0,0,,HOLD,HOLD,False
2018-01-09 05:30:00,14902.5400000000,15500.0000000000,14011.0500000000,14400.0000000000,14315.0042530000,,13544.3616214917,,,,,,0,0,,HOLD,HOLD,False
2018-01-10 05:30:00,14401.0000000000,14955.6600000000,13131.3100000000,14907.0900000000,17411.0016550000,,13557.9211078450,,,,,,0,0,,HOLD,HOLD,False
2018-01-11 05:30:00,14940.0000000000,14968.6800000000,11400.0000000000,13238.7800000000,33554.7237510000,,13554.7455744337,,,,,,0,0,,HOLD,HOLD,False
2018-01-12 05:30:00,13238.7600000000,14109.7800000000,12500.0000000000,13740.0100000000,16417.1621370000,,13556.5890015537,,,,,,0,0,,HOLD,HOLD,False
2018-01-13 05:30:00,13749.9500000000,14580.0000000000,13706.1500000000,14210.0000000000,12221.5085280000,,13563.0906035283,,,,,,0,0,,HOLD,HOLD,False
2018-01-14 05:30:00,14210.0000000000,14339.5000000000,12569.2000000000,13474.9900000000,17017.8943290000,1858.2764285714,13562.2139806076,,15.4574880640,27.5953485315,,,0,0,,HOLD,HOLD,False
2018-01-15 05:30:00,13477.9800000000,14249.9900000000,13147.7900000000,13539.9300000000,14652.0947050000,1804.2709693878,13561.9922494573,,14.7830073603,26.3912376164,,,0,0,,HOLD,HOLD,False
2018-01-16 05:30:00,13500.0000000000,13542.9300000000,9035.0000000000,10900.0000000000,63401.1691750000,1997.3894715743,13535.5047643881,,12.3998695082,36.8444943144,,,0,0,,HOLD,HOLD,False
2018-01-17 05:30:00,10899.9900000000,11680.9900000000,9037.9400000000,10988.7900000000,72331.7966460000,2043.5080807476,13510.1643189713,,11.2543088278,33.4406194633,,,0,0,,HOLD,HOLD,False
2018-01-18 05:30:00,10972.5900000000,11878.8200000000,10435.3300000000,10961.9700000000,48464.4349370000,2000.6496464085,13484.8091516183,,11.3806077227,31.7172078464,,,0,0,,HOLD,HOLD,False
2018-01-19 05:30:00,10960.0000000000,11795.0000000000,10360.0000000000,11474.9800000000,34129.3754210000,1960.2461002365,13464.8108516022,,10.7855231099,30.3332273475,,,0,0,,HOLD,HOLD,False
2018-01-20 05:30:00,11474.9800000000,13099.0000000000,11412.4500000000,12799.9400000000,28768.8578270000,1940.6963787910,13458.1952212380,,14.9154720007,28.4503058670,,,0,0,,HOLD,HOLD,False
2018-01-21 05:30:00,12799.8000000000,12799.8000000000,10965.0000000000,11530.0000000000,41379.7734260000,1933.1423517345,13439.0091991362,,13.9042022938,28.1746774973,,,0,0,,HOLD,HOLD,False
2018-01-22 05:30:00,11530.0000000000,11926.3500000000,9900.2400000000,10760.0500000000,43752.6067910000,1939.7828980392,13412.3528886970,,12.8668460243,29.9934010634,,,0,0,,HOLD,HOLD,False
2018-01-23 05:30:00,10760.0500000000,11399.0000000000,9905.0000000000,10799.1800000000,37473.9225520000,1907.9412624649,13386.3511684115,,12.1471822119,28.3158209231,,,0,0,,HOLD,HOLD,False
2018-01-24 05:30:00,10799.1400000000,11570.4800000000,10500.0000000000,11349.9900000000,27158.5877620000,1848.1226008603,13366.0888682283,,12.3073711975,27.1443030979,,,0,0,,HOLD,HOLD,False
2018-01-25 05:30:00,11349.9600000000,11794.0500000000,10950.2100000000,11175.2700000000,20839.9541830000,1776.3881293703,13344.2896755096,,12.7887471701,26.2232749434,,,0,0,,HOLD,HOLD,False
2018-01-26 05:30:00,11184.7000000000,11643.0000000000,10311.1500000000,11089.0000000000,33056.8719600000,1744.6354058438,13321.8489822209,,12.0913975011,27.4097910147,,,0,0,,HOLD,HOLD,False
2018-01-27 05:30:00,11089.0000000000,11650.0000000000,10842.6900000000,11491.0000000000,18860.7683450000,1677.6835911407,13303.6315794127,38.9235467474,11.7055974370,26.4676672393,,,0,0,,HOLD,HOLD,False
2018-01-28 05:30:00,11499.9800000000,12244.0000000000,11408.0000000000,11879.9500000000,16887.3395240000,1617.5633346307,13289.4655935479,38.2458914264,13.8964642039,25.4905816378,,,0,0,,HOLD,HOLD,False
