direction,entry_time,exit_time,entry_price,exit_price,quantity,entry_notional,exit_notional,entry_fee,exit_fee,brokerage,gross_pnl,net_pnl,return_pct,holding_days,entry_reason,exit_reason,forced_exit
SHORT,2018-11-20 05:30:00,2018-12-21 05:30:00,4913.4000000000,4051.8600000000,203.2202235987,998502.2466300549,823419.8951907955,1497.7533699451,1235.1298427862,2732.8832127313,175082.3514392594,172349.4682265281,17.2349468227,31.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2019-04-04 05:30:00,2019-05-18 05:30:00,4932.5900000000,7355.2800000000,237.3182400848,1170593.5778597384,1745542.1049307110,1755.8903667896,2618.3131573961,4374.2035241857,574948.5270709726,570574.3235467869,48.6693037367,44.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2019-05-27 05:30:00,2019-06-05 05:30:00,8612.5400000000,7687.0400000000,202.0673717383,1740313.3217906288,1553299.9692468694,2610.4699826859,2329.9499538703,4940.4199365562,-187013.3525437592,-191953.7724803155,-11.0133198816,9.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2019-06-21 05:30:00,2019-06-28 05:30:00,9518.0600000000,11329.9900000000,162.7061658279,1548647.0487199191,1843459.2317684693,2322.9705730799,2765.1888476527,5088.1594207326,294812.1830485502,289724.0236278176,18.6801820811,7.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2019-09-25 05:30:00,2019-10-26 05:30:00,8497.5500000000,8655.8800000000,216.2902409771,1837937.1372149943,1872182.3710688991,2756.9057058225,2808.2735566033,5565.1792624258,-34245.2338539049,-39810.4131163308,-2.1627936087,31.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2019-10-27 05:30:00,2019-11-09 05:30:00,9230.0000000000,8773.7400000000,194.8197562599,1798186.3502790679,1709297.8882879163,2697.2795254186,2563.9468324319,5261.2263578505,-88888.4619911514,-94149.6883490019,-5.2279718018,13.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2019-11-23 05:30:00,2019-11-30 05:30:00,7268.2300000000,7740.9900000000,234.4694203325,1704177.6749430699,1815025.4380994486,2556.2665124146,2722.5381571492,5278.8046695638,-110847.7631563787,-116126.5678259424,-6.8040228770,7.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2020-01-15 05:30:00,2020-01-26 05:30:00,8814.6400000000,8340.0100000000,180.1803631317,1588225.0360754288,1502706.0303222183,2382.3375541131,2254.0590454833,4636.3965995965,-85519.0057532105,-90155.4023528070,-5.6679859435,11.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2020-01-29 05:30:00,2020-02-20 05:30:00,9375.3400000000,9594.6500000000,159.8027020119,1498204.6642803145,1533250.9948585457,2247.3069964205,2299.8764922878,4547.1834887083,35046.3305782313,30499.1470895230,2.0326640021,22.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2020-03-09 05:30:00,2020-03-20 05:30:00,8034.7600000000,6162.0500000000,190.2556057890,1528658.1311695036,1172364.5556523206,2292.9871967543,1758.5468334785,4051.5340302327,356293.5755171829,352242.0414869502,23.0080527890,11.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2020-04-30 05:30:00,2020-05-11 05:30:00,8778.5800000000,8722.7700000000,214.2000871384,1880372.6009517803,1868418.0940885842,2820.5589014277,2802.6271411329,5623.1860425605,-11954.5068631963,-17577.6929057569,-0.9333982982,11.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2020-06-02 05:30:00,2020-06-28 05:30:00,10202.7100000000,9012.0000000000,182.5810235805,1862821.2350948090,1645420.1845072946,2794.2318526422,2468.1302767609,5262.3621294032,-217401.0505875143,-222663.4127169175,-11.9351182847,26.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2020-07-27 05:30:00,2020-08-26 05:30:00,9931.5400000000,11318.4200000000,165.1799536884,1640491.3172546516,1869576.0914260419,2460.7369758820,2804.3641371391,5265.1011130210,229084.7741713903,223819.6730583693,13.6230191552,30.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2020-10-20 05:30:00,2020-11-27 05:30:00,11751.4600000000,17149.4700000000,158.6165262566,1863975.7636434375,2720189.3585418514,2795.9636454652,4080.2840378128,6876.2476832779,856213.5948984141,849337.3472151362,45.4976543087,38.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2020-12-01 05:30:00,2021-01-12 05:30:00,19695.8700000000,35410.3700000000,137.6959237132,2712041.0129845617,4875863.6061752103,4068.0615194768,7313.7954092628,11381.8569287397,2163822.5931906491,2152440.7362619094,79.2472127304,42.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2021-02-09 05:30:00,2021-02-24 05:30:00,46374.8600000000,48891.0000000000,104.8252851627,4861257.9238801263,5125013.0168893933,7291.8868858202,7687.5195253341,14979.4064111543,263755.0930092671,248775.6865981128,5.1098519327,15.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2021-03-14 05:30:00,2021-03-26 05:30:00,61188.3800000000,51293.7800000000,83.5070483294,5109661.0058552772,4283392.1654555863,7664.4915087829,6425.0882481834,14089.5797569663,-826268.8403996906,-840358.4201566569,-16.4218285624,12.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2021-04-14 05:30:00,2021-04-19 05:30:00,63575.0100000000,56150.0100000000,67.1735833837,4270561.2353543714,3771797.3787304210,6405.8418530316,5657.6960680956,12063.5379211272,-498763.8566239503,-510827.3945450775,-11.9436831129,5.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2021-05-20 05:30:00,2021-06-15 05:30:00,36671.2300000000,40516.2800000000,102.5462994904,3760498.9342609337,4154794.5831164527,5640.7484013914,6232.1918746747,11872.9402760661,-394295.6488555193,-406168.5891315854,-10.7847457438,26.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2021-07-31 05:30:00,2021-09-08 05:30:00,42206.3600000000,46868.5700000000,79.4889368688,3354938.6855024863,3725532.8018616447,5032.4080282537,5588.2992027925,10620.7072310462,370594.1163591587,359973.4091281125,10.7135864895,39.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2021-09-22 05:30:00,2021-10-02 05:30:00,40734.0900000000,48141.6000000000,91.1858579201,3714372.9432439860,4389833.0976456003,5571.5594148660,6584.7496464684,12156.3090613344,-675460.1544016147,-687616.4634629491,-18.4845892989,10.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2021-10-07 05:30:00,2021-10-28 05:30:00,55315.0000000000,58413.4400000000,54.7371664043,3027786.3596564187,3197386.1855303016,4541.6795394846,4796.0792782955,9337.7588177801,169599.8258738830,160262.0670561029,5.2851164183,21.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
LONG,2021-11-09 05:30:00,2021-11-17 05:30:00,67525.8200000000,60058.8700000000,47.2087328027,3187808.3936615144,2835303.1462605819,4781.7125904923,4252.9547193909,9034.6673098831,-352505.2474009328,-361539.9147108160,-11.3243448948,8.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2021-12-05 05:30:00,2022-02-01 05:30:00,49152.4600000000,38466.9000000000,57.5110579730,2826809.9765763264,2212272.1159421909,4240.2149648645,3318.4081739133,7558.6231387778,614537.8606341355,606979.2374953578,21.4400733448,58.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
LONG,2022-03-29 05:30:00,2022-04-07 05:30:00,47122.2100000000,43170.4700000000,72.8505753205,3432880.1088732388,3144993.5763562215,5149.3201633099,4717.4903645343,9866.8105278442,-287886.5325170174,-297753.3430448616,-8.6605815683,9.0000000000,LONG_BREAKOUT,LONG_ATR_STOP,False
SHORT,2022-04-27 05:30:00,2022-05-31 05:30:00,38112.6400000000,31734.2300000000,82.2712025958,3135572.7269013352,2610813.2655521678,4703.3590903520,3916.2198983283,8619.5789886803,524759.4613491677,516139.8823604875,16.4361307168,34.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
SHORT,2022-06-13 05:30:00,2022-07-08 05:30:00,26574.5300000000,21624.9900000000,137.3849155192,3650939.5590136535,2970947.4242545278,5476.4093385205,4456.4211363818,9932.8304749023,679992.1347591258,670059.3042842235,18.3255764684,25.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
SHORT,2022-08-27 05:30:00,2022-09-10 05:30:00,20239.1400000000,21361.6200000000,213.4475713749,4319995.2797168223,4559585.9096337333,6479.9929195752,6839.3788644506,13319.3717840258,-239590.6299169104,-252910.0017009362,-5.8456361302,14.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
SHORT,2022-11-10 05:30:00,2022-12-01 05:30:00,15922.6800000000,17165.5300000000,255.4509714962,4067464.0748232258,4384951.3147472860,6101.1961122348,6577.4269721209,12678.6230843558,-317487.2399240605,-330165.8630084163,-8.1050834109,21.0000000000,SHORT_BREAKOUT,SHORT_ATR_STOP,False
